#rho0,E/A
1.559128555456466558e-01,-1.576773584521819060e+01
1.576557139282970532e-01,-1.574948438866344880e+01
1.564938553806932420e-01,-1.574709857782257494e+01
1.568556554715123397e-01,-1.575068974900613128e+01
1.559714338655935617e-01,-1.571641284160475927e+01
1.563152573160536685e-01,-1.573460305915305391e+01
1.561597989669219200e-01,-1.571433768247888807e+01
1.562430980479966036e-01,-1.580607185195012221e+01
1.556272000659925103e-01,-1.572966973872035013e+01
1.568469347493218757e-01,-1.577235444266439401e+01
1.558172276520888300e-01,-1.575868166769356726e+01
1.554554974243367860e-01,-1.573515047317331117e+01
1.586783019943527051e-01,-1.576904929681874812e+01
1.552378337327424418e-01,-1.577947006751036518e+01
1.557371685766671121e-01,-1.578618233988191477e+01
1.557127084284254115e-01,-1.574489828688534487e+01
1.558280563323918566e-01,-1.575262255636131670e+01
1.568872158541685935e-01,-1.575358533430390828e+01
1.560178426020447096e-01,-1.577665919220590141e+01
1.559320781813937906e-01,-1.573471489364781561e+01
1.550009666745053305e-01,-1.574727648168022931e+01
1.566069891624084498e-01,-1.576346629198908467e+01
1.565305901586716841e-01,-1.576877993260807997e+01
1.570748134902297810e-01,-1.573380055052627213e+01
1.556754259559183784e-01,-1.576647166870289496e+01
1.558642671815146374e-01,-1.574679816649544861e+01
1.563642947755738977e-01,-1.576901691746862788e+01
1.565844953550874774e-01,-1.574960146896135171e+01
1.559902501571217848e-01,-1.570009031573079383e+01
1.550119334367525969e-01,-1.572711314202171096e+01
1.567728153274745573e-01,-1.575434475316217586e+01
1.570162042908536393e-01,-1.576046329353820852e+01
1.570915746755205122e-01,-1.572368649631995829e+01
1.554725692497075928e-01,-1.573989765622496861e+01
1.554200791032786244e-01,-1.572980352111595614e+01
1.558789373803590728e-01,-1.570671567733717922e+01
1.551211387393202912e-01,-1.572935809116055239e+01
1.571971572011754692e-01,-1.578127948568695693e+01
1.566479989185044219e-01,-1.573001839554174097e+01
1.561129892409598985e-01,-1.574678171587825304e+01
1.568889907883732615e-01,-1.580370027417946233e+01
1.554103417422464661e-01,-1.578461293353943518e+01
1.573872000336287158e-01,-1.576511617888498584e+01
1.554010888375813582e-01,-1.577093384155753952e+01
1.561597368540137143e-01,-1.575512547348215442e+01
1.565028349582668898e-01,-1.573984462788387084e+01
1.551561342878018390e-01,-1.572166649622404400e+01
1.559537213523922439e-01,-1.577335537368908014e+01
1.561534135671715506e-01,-1.574404860516834503e+01
1.573257839516929713e-01,-1.575087670803387674e+01
1.563680519086433629e-01,-1.572318458317337786e+01
1.562315819153364815e-01,-1.574353799168224910e+01
1.560771622812942572e-01,-1.575969703787380460e+01
1.550103301018412316e-01,-1.572737679105858177e+01
1.569853014956513471e-01,-1.574626372684246434e+01
1.583677614280463164e-01,-1.578940332365399968e+01
1.574690278365834806e-01,-1.579042794736397504e+01
1.560276621947603026e-01,-1.575654985796202290e+01
1.564180364029317261e-01,-1.574704454088081107e+01
1.553065469178708802e-01,-1.572570664595933643e+01
1.560279463407417688e-01,-1.573982364288687386e+01
1.557558807325135630e-01,-1.577431269713883388e+01
1.559421237068671362e-01,-1.577064745266953061e+01
1.569883199753083491e-01,-1.581148572776790218e+01
1.563520629429592246e-01,-1.577235942806790625e+01
1.556742040330076626e-01,-1.573285067674835425e+01
1.557592065120421143e-01,-1.575807179725117457e+01
1.554987421543785886e-01,-1.573532867633587884e+01
1.567513447100878365e-01,-1.572925138597219252e+01
1.559046251198282218e-01,-1.574115895324898240e+01
1.577333858769945918e-01,-1.580083269755140307e+01
1.569606541502032993e-01,-1.578280431247007520e+01
1.563890329662745715e-01,-1.581489369655129806e+01
1.556804998371448256e-01,-1.573686847923397103e+01
1.552252875350090822e-01,-1.576459683563650849e+01
1.567346065101496988e-01,-1.577665139868995681e+01
1.552814961398542304e-01,-1.571745917565331396e+01
1.580954941067433672e-01,-1.580362034370039659e+01
1.559330905847479132e-01,-1.573207153539100212e+01
1.570109431528320665e-01,-1.576631930028213802e+01
1.562293010146886263e-01,-1.575542873447190217e+01
1.563004778740602341e-01,-1.576147563423127274e+01
1.565227273772417660e-01,-1.576552929471558961e+01
1.564026112012932013e-01,-1.575677113725610745e+01
1.570818634643019740e-01,-1.573604158535660957e+01
1.561530329729964583e-01,-1.575277179410214146e+01
1.552438801011514768e-01,-1.571490001854739660e+01
1.551314760120021119e-01,-1.570483868659871973e+01
1.556423841279260811e-01,-1.576315528587786297e+01
1.564958962224488326e-01,-1.578132783872718647e+01
1.559285050102847958e-01,-1.573630802160135644e+01
1.556728786000558529e-01,-1.573453436419658047e+01
1.582144165349592402e-01,-1.575890917881799957e+01
1.569589200307069388e-01,-1.577085329346031450e+01
1.565112874471244475e-01,-1.579928302907776505e+01
1.556991431096305667e-01,-1.572898174950588768e+01
1.573964739674683644e-01,-1.579805869441265820e+01
1.558002968366069829e-01,-1.572283355394937132e+01
1.558099388247988770e-01,-1.573098984453428706e+01
1.578924049199615653e-01,-1.574624721850305065e+01
1.556437516875933957e-01,-1.580203154335491433e+01
1.570521155614738595e-01,-1.576003555150360746e+01
1.571802893296158354e-01,-1.573647880586599079e+01
1.566270725656978835e-01,-1.578344149082487391e+01
1.567117272081695045e-01,-1.577976495852741579e+01
1.565875686333586536e-01,-1.577185439991709615e+01
1.578045816609952301e-01,-1.575536272660229287e+01
1.553382213805139522e-01,-1.572767370891492611e+01
1.558900531382426125e-01,-1.573793071721162029e+01
1.551326968424931729e-01,-1.574094485211979411e+01
1.551482900158127065e-01,-1.572009419305884315e+01
1.566865991792321111e-01,-1.575065584349830594e+01
1.565698215625987988e-01,-1.578536532498276124e+01
1.555841012263800560e-01,-1.575846813495332555e+01
1.566237044533782541e-01,-1.580608171571061860e+01
1.554538819614063594e-01,-1.572997108625096274e+01
1.565872069681836509e-01,-1.574298044498978122e+01
1.577470319708239033e-01,-1.572291901679792581e+01
1.582922169419583858e-01,-1.578353197720329781e+01
1.552935529275432380e-01,-1.574450355560446368e+01
1.560632415892759250e-01,-1.576225967612846546e+01
1.554505425748249348e-01,-1.572550318371314404e+01
1.574827218743174162e-01,-1.577413719810969894e+01
1.561373080271346303e-01,-1.572794110562109005e+01
1.570197609809756423e-01,-1.574015394263356171e+01
1.550815637011520864e-01,-1.573308760724941102e+01
1.550948128390799985e-01,-1.569394592229171437e+01
1.562899193205619652e-01,-1.567299704045960596e+01
1.563031473604836741e-01,-1.572326574077365535e+01
1.561963412653819272e-01,-1.572055436405370443e+01
1.575981692341013318e-01,-1.577150105238616007e+01
1.573148599394796898e-01,-1.574233115490017632e+01
1.557584512115280651e-01,-1.575244791718863446e+01
1.572789368901008067e-01,-1.576093363376669387e+01
1.557293761450641856e-01,-1.573320919666078410e+01
1.554025560334885425e-01,-1.577182844623077784e+01
1.565659020002268254e-01,-1.573395461839243481e+01
1.559571516620843201e-01,-1.577249853882632813e+01
1.558652929525392861e-01,-1.575577903191648943e+01
1.567561262714302905e-01,-1.576179377466910836e+01
1.562024812465363510e-01,-1.573173985348915238e+01
1.562727381912335234e-01,-1.575661660281882526e+01
1.574993669273356822e-01,-1.573821437456363626e+01
1.559892222441003617e-01,-1.576313268934281453e+01
1.570929894114342085e-01,-1.576873761128557483e+01
1.573460059903788733e-01,-1.571025811356440371e+01
1.551519128690044269e-01,-1.569062157138422897e+01
1.583215494366138065e-01,-1.577154587132926800e+01
1.563459228325197736e-01,-1.574710738726467341e+01
1.569204454477048649e-01,-1.572182557286839533e+01
1.567635885387424766e-01,-1.572795437725764600e+01
1.562376942554835058e-01,-1.571584769237037804e+01
1.568196412224287517e-01,-1.574650874064774442e+01
1.558023365938313864e-01,-1.578072187120501546e+01
1.583950026461091731e-01,-1.578478816867341372e+01
1.566130955319441909e-01,-1.574978395294905376e+01
