#    <A>=  0.149819  sigmaA= 0.000491
#    <B>=-16.346358  sigmaB= 0.021260
#  rhoAB= -0.411681
#    a39=  0.000447     b39=  0.021261
#    a95=  0.001094     b95=  0.052035
#  tht39=  0.544546   tht95=  0.544546
#
#       A39       B39         A95       B95
     0.150307 -16.357062   0.151013 -16.372554
     0.150307 -16.356830   0.151015 -16.371987
     0.150308 -16.356597   0.151016 -16.371416
     0.150308 -16.356362   0.151017 -16.370841
     0.150309 -16.356125   0.151018 -16.370262
     0.150309 -16.355887   0.151019 -16.369680
     0.150309 -16.355647   0.151019 -16.369093
     0.150309 -16.355406   0.151020 -16.368503
     0.150310 -16.355164   0.151020 -16.367910
     0.150309 -16.354920   0.151020 -16.367313
     0.150309 -16.354675   0.151019 -16.366713
     0.150309 -16.354428   0.151019 -16.366110
     0.150309 -16.354181   0.151018 -16.365503
     0.150309 -16.353932   0.151017 -16.364894
     0.150308 -16.353681   0.151016 -16.364281
     0.150308 -16.353430   0.151015 -16.363666
     0.150307 -16.353177   0.151014 -16.363048
     0.150307 -16.352924   0.151012 -16.362428
     0.150306 -16.352669   0.151011 -16.361804
     0.150305 -16.352414   0.151009 -16.361179
     0.150304 -16.352157   0.151007 -16.360551
     0.150303 -16.351900   0.151004 -16.359921
     0.150302 -16.351641   0.151002 -16.359288
     0.150301 -16.351382   0.150999 -16.358654
     0.150300 -16.351122   0.150996 -16.358018
     0.150299 -16.350861   0.150993 -16.357380
     0.150297 -16.350600   0.150990 -16.356740
     0.150296 -16.350338   0.150986 -16.356098
     0.150294 -16.350075   0.150983 -16.355455
     0.150293 -16.349812   0.150979 -16.354811
     0.150291 -16.349548   0.150975 -16.354165
     0.150290 -16.349284   0.150971 -16.353518
     0.150288 -16.349019   0.150966 -16.352870
     0.150286 -16.348753   0.150962 -16.352220
     0.150284 -16.348488   0.150957 -16.351570
     0.150282 -16.348222   0.150952 -16.350919
     0.150280 -16.347956   0.150947 -16.350267
     0.150278 -16.347689   0.150942 -16.349615
     0.150276 -16.347422   0.150937 -16.348962
     0.150273 -16.347155   0.150931 -16.348309
     0.150271 -16.346888   0.150925 -16.347656
     0.150268 -16.346621   0.150919 -16.347002
     0.150266 -16.346354   0.150913 -16.346348
